route_long_name,Str. Unirii - Str. Bucium
service_name,Luni-Vineri
service_start,04.05.2015
in_stop_name,Disp. Bucium
out_stop_name,Disp. Unirii
23:05,23:00
23:35,23:30
00:05,00:00
00:30,00:30
